,Sensitivity,Specificity,Accuracy
2,0.9462616822429907,0.9316628701594533,0.9388696655132641
3,0.9417040358744395,0.9368932038834952,0.9393939393939394
4,0.9413092550790068,0.9302325581395349,0.9355895196506551
5,0.927570093457944,0.9223300970873787,0.925
6,0.9601769911504425,0.9398663697104677,0.9500554938956715
7,0.9422110552763819,0.9440860215053763,0.9432213209733488
8,0.92018779342723,0.9292035398230089,0.9248291571753986
9,0.9343065693430657,0.9268867924528302,0.9305389221556887
10,0.9393939393939394,0.95,0.9450934579439252
11,0.9397321428571429,0.9368932038834952,0.9383720930232559
12,0.9410377358490566,0.9322799097065463,0.936562860438293
13,0.9402298850574713,0.9416058394160584,0.9408983451536643
14,0.9339407744874715,0.9197396963123644,0.9266666666666666
15,0.9338624338624338,0.9241706161137441,0.92875
16,0.9394673123486683,0.9449152542372882,0.9423728813559322
17,0.9440715883668904,0.9395973154362416,0.941834451901566
18,0.9325301204819277,0.9265033407572383,0.9293981481481481
19,0.9385749385749386,0.9371980676328503,0.9378806333739342
20,0.9355608591885441,0.9322033898305084,0.9338942307692307
21,0.9432098765432099,0.9498806682577565,0.9466019417475728
22,0.9496221662468514,0.9401913875598086,0.9447852760736196
23,0.9340909090909091,0.9313725490196079,0.9327830188679245
24,0.9432989690721649,0.9353233830845771,0.9392405063291139
25,0.9247058823529412,0.9279279279279279,0.9263521288837745
26,0.9343065693430657,0.9364705882352942,0.9354066985645934
27,0.9439024390243902,0.9427312775330396,0.9432870370370371
28,0.9354066985645934,0.9301745635910225,0.9328449328449329
29,0.9437652811735942,0.9428571428571428,0.9432870370370371
30,0.9331683168316832,0.9023255813953488,0.9172661870503597
31,0.9294403892944039,0.9398496240601504,0.9345679012345679
32,0.9338235294117647,0.9457013574660633,0.94
33,0.941747572815534,0.9276315789473685,0.934331797235023
34,0.9423963133640553,0.9287469287469288,0.9357907253269917
35,0.9654320987654321,0.9553990610328639,0.9602888086642599
36,0.9448818897637795,0.9285714285714286,0.9359430604982206
37,0.9358024691358025,0.9311926605504587,0.9334126040428062
38,0.9375,0.9346246973365617,0.9360393603936039
39,0.9361179361179361,0.9394673123486683,0.9378048780487804
40,0.9435294117647058,0.9421296296296297,0.9428238039673279
41,0.9358669833729216,0.9273504273504274,0.9313835770528683
42,0.925,0.94,0.9328947368421052
43,0.9352678571428571,0.9130434782608695,0.9242937853107345
44,0.9492753623188406,0.9328358208955224,0.9411764705882353
45,0.9348370927318296,0.9393139841688655,0.9370179948586118
46,0.9444444444444444,0.9518348623853211,0.9484029484029484
47,0.9493087557603687,0.9389140271493213,0.9440639269406392
48,0.9468599033816425,0.9471153846153846,0.946987951807229
49,0.95,0.9294117647058824,0.9398843930635838
50,0.9443099273607748,0.9316037735849056,0.937873357228196
51,0.9474940334128878,0.9391727493917275,0.9433734939759036
52,0.9400921658986175,0.9411764705882353,0.9406392694063926
53,0.928395061728395,0.9223529411764706,0.9253012048192771
54,0.9398496240601504,0.9344660194174758,0.93711467324291
55,0.9425837320574163,0.9452380952380952,0.9439140811455847
56,0.9453681710213777,0.9497816593886463,0.9476678043230944
57,0.9315403422982885,0.9483568075117371,0.9401197604790419
58,0.9395465994962217,0.9413145539906104,0.9404617253948967
59,0.9544364508393285,0.9460093896713615,0.9501779359430605
60,0.948849104859335,0.9605263157894737,0.9551357733175915
61,0.9260204081632653,0.9386792452830188,0.9325980392156863
62,0.946969696969697,0.9504504504504504,0.9488095238095238
63,0.9267734553775744,0.9195121951219513,0.9232585596221959
64,0.9341176470588235,0.9379310344827586,0.936046511627907
65,0.9476190476190476,0.9497607655502392,0.9486873508353222
66,0.9511568123393316,0.958997722095672,0.9553140096618358
67,0.9439252336448598,0.9312039312039312,0.9377245508982036
68,0.9496021220159151,0.9443254817987152,0.9466824644549763
69,0.9433497536945813,0.9447368421052632,0.9440203562340967
70,0.9408866995073891,0.9414414414414415,0.9411764705882353
71,0.9387254901960784,0.9415730337078652,0.94021101992966
72,0.947242206235012,0.9366515837104072,0.9417927823050058
73,0.9445843828715366,0.9276485788113695,0.9362244897959183
74,0.9551569506726457,0.9416058394160584,0.9486581096849475
75,0.9414758269720102,0.9331797235023042,0.9371221281741233
76,0.9508196721311475,0.9539170506912442,0.9525
77,0.937799043062201,0.9535962877030162,0.9458186101295641
78,0.9481132075471698,0.9463869463869464,0.9472450175849941
79,0.9245283018867925,0.9133333333333333,0.9187643020594966
80,0.9300699300699301,0.9065420560747663,0.9183197199533255
81,0.9529411764705882,0.9439461883408071,0.9483352468427095
82,0.9285714285714286,0.959051724137931,0.9450934579439252
83,0.9397590361445783,0.936768149882904,0.9382422802850356
84,0.9484029484029484,0.9479638009049773,0.9481743227326266
85,0.933649289099526,0.9300225733634312,0.9317919075144508
86,0.9267015706806283,0.9317073170731708,0.9292929292929293
87,0.9440203562340967,0.946987951807229,0.9455445544554455
88,0.9440715883668904,0.9252336448598131,0.9348571428571428
89,0.9278350515463918,0.9371980676328503,0.9326683291770573
90,0.9413092550790068,0.9492600422832981,0.9454148471615721
91,0.9397590361445783,0.9311926605504587,0.9353701527614571
92,0.9312796208530806,0.930715935334873,0.9309941520467836
93,0.9427083333333334,0.9528535980148883,0.9479034307496823
94,0.9316455696202531,0.9387755102040817,0.9354066985645934
95,0.9495192307692307,0.9357798165137615,0.9424882629107981
96,0.9457700650759219,0.9242424242424242,0.9349945828819068
97,0.9290617848970252,0.9149888143176734,0.9219457013574661
98,0.9461358313817331,0.9347319347319347,0.9404205607476636
99,0.9354838709677419,0.9550321199143469,0.9459770114942528
